a,b
"790","""Line about Terminator being favorite romantic movie had me laughing out loud"" #bynr #asmsg http://t.co/Z4okFZBNKq http://t.co/OMVvZedByR"
"791","I liked a @YouTube video from @amctheatres http://t.co/2Dhg4bPGa1 New Posters Unveiled For TERMINATOR: GENISYS - AMC Movie News"
"792","TERMINATOR SALVATION MOVIE POSTER Skull City NEW 1218 - PRINT IMAGE PHOTO -PW0 http://t.co/6yNEXyxsBr http://t.co/eG6ZkUCRim"
"793","Why is the new Terminator movie PG-13? NEWS FLASH: NOT EVERY MOVIE HAS TO CATER TO THE JUNIOR CROWD

I saw T2 in all its R-rated glory at 9!"
"794","@RuberEaglenest (hence why I'm a bit OTT with Grapes of Wrath now, post movie excitement and all that jazz...). Also, Agree on Terminator"
"795","About bloody time a new terminator movie came out, good all the terminator movies one more to add to my... http://t.co/gOCAweysCi"
"796","I liked a @YouTube video from @amctheatres http://t.co/rZTNCX97Nq New Posters Unveiled For TERMINATOR: GENISYS - AMC Movie News"
"797","Terminator Genisys Movie - Official Trailer 
http://t.co/A20Ddp3bT3 http://t.co/Iqy2hhLX94"
"798","New Posters Unveiled For TERMINATOR: GENISYS - AMC Movie News https://t.co/Yiv0x4EQYo via @YouTube"
"799","I added a video to a @YouTube playlist http://t.co/3CD5dXx6kv New Posters Unveiled For TERMINATOR: GENISYS - AMC Movie News"
"800","Now that's a movie poster right there. You listening Terminator? Nordling Reviews MAD MAX: FURY ROAD! - 'Spoilers' http://t.co/mh8jBbctw6"
"801","RT @CineMovie: Not one but 3 terminators get character movie posters for #TerminatorGenisys http://t.co/p1PtU0sul9 http://t.co/RYVPMrwR4Y"
"802","Still think Terminator 2 was the movie that turned me off blockbusters. 7/27 Drive-In, now housing."
"803","Terminator 2 is a great movie"
"804","Is this supposed to be a viral promotion for that new Terminator movie, or is it a real thing? http://t.co/umWAY1QuxR"
"805","why in the fuck isn't there the first terminator movie on Netflix"
"806","RT @MikeyStrange: Terminator 2: Judgement Day. I never get tired of watching this movie."
"807","HE TOLD YOU HE'D BE BACK: I'm hyped to see @Schwarzenegger come back again for another film in my favorite movie sequel. #Terminator"
"808","""Terminator 2: Judgment Day"" (1991) is a superb movie (A) #ConamaraViews &lt;no7cih&gt;"
"809","A fantastic new entry in a popular movie franchise about a sci-fi based post-apocalyptic world. But enough about the Terminator movies..."
"810","Not one but 3 terminators get character movie posters for #TerminatorGenisys http://t.co/p1PtU0sul9 http://t.co/RYVPMrwR4Y"
"811","Everyone who is pushing the self-driving cars needs to re-watch Terminator, iRobot and any other movie where the machines take over."
"812","Terminator Genisys Movie - Official Trailer 
http://t.co/A20Ddp3bT3 http://t.co/kRkfggIiku"
"813","@_Roonix I think the article is trying to get people to go see the new Terminator movie."
"814","RT @andihero: Why is everyone talking about a fifth Terminator movie? They only made two."
"815","People who saw this coming: Everyone who ever watched a Terminator movie http://t.co/bQFWH76b26"
"816","Who could Martin Freeman be playing in the Civil War movie? Our pal, Mark Millar says it's an ""obvious"" role. Ideas? http://t.co/8XiNEw1rB0"
"817","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"818","RT @CobraShadowJoes: Terminator Genisys Movie Posters http://t.co/O9YxksSMJZ http://t.co/zdAF10dx1H"
"819","Terminator Genisys Movie - Official Trailer 2 https://t.co/nd5sQSDvwz via @YouTube. Now this look's like a really good movie to watch."
"820","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/lgRgU5bWJX"
"821","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/y5sBWOAHDg"
"822","the new terminator looks (movie/posters etc) like it was made as a second year art college project."
"823","Terminator Genisys Movie Posters http://t.co/O9YxksSMJZ http://t.co/zdAF10dx1H"
"824","Movie posters these days SUUUCK - Five Terminator Genisys Character Posters Are So Metal http://t.co/OBNRCdex1j"
"825","Five Cool Terminator: Genisys Movie Posters! http://t.co/X3P8qpLepP #TerminatorGenisys #ResetTheFuture #Skynet http://t.co/F1lTgrkCl7"
"826","Five Cool Terminator: Genisys Movie Posters! http://t.co/ZnlVZAOeqF #TerminatorGenisys #ResetTheFuture #Skynet http://t.co/CXEK86KDvq"
"827","Five Cool Terminator: Genisys Movie Posters! http://t.co/WlGv5UuU4M #TerminatorGenisys #ResetTheFuture #Skynet http://t.co/8k7YCXa6pK"
"828","Terminator Genisys Official TRAILER #3 (2015) Arnold Schwarzenegger Sci Fi Movie http://t.co/fLtj8z4R25"
"829","I'm no James Cameron apologist, but he's roughly 80% of what makes a Terminator movie work. His absence exposes the dullness of the mythos."
"830","Check out these five new Terminator: Genisys character posters - Horror Movie News | Arrow in the Head http://t.co/1x8YK8Q1UT Crap!"
"831","Check out these five new Terminator: Genisys character posters - Horror Movie News | Arrow in the Head http://t.co/itr3H3HrcY"
"832","The new terminator movie is gna be baaaad fukn ayuss"
"833","@AChav006 @NECA_TOYS @CobraShadowJoes @paultstevenson someone needs to make this movie where jason fights the terminator."
"834","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/XBTyUYeZQl"
"835","RT @Capn_Andy: I'm communicating using only Terminator movie references and it seems to be working this time http://t.co/bJZzMBZlhX"
"836","#Terminator 3 Vinyl Movie Banner Display 8ftx4ft #ArnoldSchwarzenegger http://t.co/QR7QxZGtt4 #Governor #Actor"
"837","New TV show? Charlie Brooker show? Otherwise it's the terminator movie series in real life Christ will they ever learn #humans"
"838","@Amirosie Hopefully we can all say the same about the Terminator movie"
"839","Terminator 2: Judgment Day (1991) Full Movie
https://t.co/xlYE8t2Bv7"
"840","Terminator 2: Judgment Day (1991) Full Movie
https://t.co/EeO7nPwgy0"
"841","Terminator 2: Judgment Day (1991) Full Movie
https://t.co/P3UZZIqIGq"
"842","IM WONDERING THE BAD BLOOD MV WILL BE LIKE ACTION MOVIE AND IM SURE IT WILL BE MORE AMAZING THAN TERMINATOR OR JAMES BOND ETC AAAAAHHHHH"
"843","I'm only interested in seeing the new Terminator movie because of Emilia Clarke. #MotherOfDragons"
"844","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD https://t.co/bpNszq7Yut"
"845","@Schwarzenegger 
We are waiting for your's next terminator movie. Plz sir come back to on screen quikly"
"846","Terminator  Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD by @ccwx2003 - http://t.co/eeeAKVimbE via @DailymotionUSA"
"847","so when i die and the world still looks like the last terminator movie ill at least be able to go out saying "" i told you idiots"""
"848","I am screamingly excited about the new Terminator movie."
"849","Amma is back and smiling, indeed ""I'll be back"" moment from movie Terminator. Remember she had even met Arnold Schwarzenegger. #JayaVerdict"
"850","MOVIES: Terminator Genisys - News Roundup - Latest Movie News (What is this?) 11th May 2015 - Character Posters 30... http://t.co/iq99YcOPSr"
"851","5 New Terminator Genisys Character Posters #new #comingsoonnet #character #genisys #terminator #posters #post http://t.co/XBdfATMbTZ"
"852","@ParamountPics can't wait for terminator movie, please check out my monologue https://t.co/pIJewsTVA4"
"853","hm I am weirdly excited for the new terminator movie"
"854","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/e4SYSNe2Ka Trailer https://t.co/PxJi22yqsJ"
"855","RT @Espngreeny: Arnold made another Terminator movie?"
"856","Movie improvement: TERMINATOR. A robot tries to make the movie end prematurely by destroying the plot, studio, and ultimately cinema itself."
"857","RT @andihero: Why is everyone talking about a fifth Terminator movie? They only made two."
"858","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"859","Terminator Genisys Movie - Official Trailer https://t.co/xEx38B0LH9"
"860","RT @UKfilmredcarpet: Check out the new #TerminatorGenisys movie posters! http://t.co/9uZ5SYlmzG http://t.co/EzmSucM0Tw"
"861","I liked a @YouTube video http://t.co/CfHGekA4HC Terminator Genisys Movie - Official Trailer 2"
"862","""5 New #Terminator Genisys Character Posters"" #cinema #movie http://t.co/vr0BlKbty4"
"863","Terminator 2 is the best movie of all time."
"864","Five Cool Terminator: Genisys Movie Posters!: There is only a couple of months to go to before... http://t.co/QwYY3mEpWM via @TechMASHUK"
"865","@_JakeTucker Listen, I 100% agree, but there is no such movie as Terminator 1"
"866","RT @andihero: Why is everyone talking about a fifth Terminator movie? They only made two."
"867","Why is everyone talking about a fifth Terminator movie? They only made two."
"868","terminator 2 judgment day 1991 http://t.co/SORKQ8vtCf"
"869","the terminator 1984 http://t.co/d2ZGbeAlyw"
"870","What? Look at how many people are checking out this Terminator 2 Shot Glass 3D Movie Studio Promo Black &amp; Silver.. http://t.co/00ZOva0kNN"
"871","Apparently the new Terminator movie is about resistance fighters sent back in time from the future to stop Peter Mandelson."
"872","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie |  
http://t.co/e4SYSNe2Ka Trailer https://t.co/PxJi22yqsJ"
"873","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie |  
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"874","Terminator Salvation FULL Movie - YouTube http://t.co/iVaJnXNDqj"
"875","but now after watching T2? I can see why people hate it so much as a terminator movie"
"876","Salvation was my first terminator movie and just as like, a popcorn action flick I loved it"
"877","@NanamisEgg weird joly fact is that T1 is actually the ONLY terminator movie i havent seen"
"878","@fireballslayer @karleegreyxxx wanna see Her in every movie what the hell even get her in Star Wars, Terminator, Batman Vs superman, muppets"
"879","If you're intrigued by the new Terminator movie, DO NOT look at the new trailer nor posters. DON'T"
"880","#OuterSpaceBlog is back!
#Character #Poster for #Terminator #Genisys !
#SciFi #movie
https://t.co/YQKb9SuIEs http://t.co/v6ThHvcli8"
"881","RT @Capn_Andy: I'm communicating using only Terminator movie references and it seems to be working this time http://t.co/bJZzMBZlhX"
"882","Soon we'll have a summer movie showdown at the box office between Terminator Genysis and Magic Mike XXL. My money is going to Magic Mike."
"883","I'm communicating using only Terminator movie references and it seems to be working this time http://t.co/bJZzMBZlhX"
"884","I liked the last terminator movie alot I hate they chged the main character"
"885","RT @UKfilmredcarpet: Check out the new #TerminatorGenisys movie posters! http://t.co/9uZ5SYlmzG http://t.co/EzmSucM0Tw"
"886","RT @mattbuchanan: it's pretty weird that nobody's ever been able to make a better movie than terminator 2"
"887","it's pretty weird that nobody's ever been able to make a better movie than terminator 2"
"888","I liked a @YouTube video http://t.co/0ppJJjyYYJ Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"889","damn...I want to see almost every movie coming out this summer. #SanAndreas #madmax #tomorrowland #JurassicWorld #TED2 #Terminator #selfless"
"890","RT @MoviesSilently: My favorite William S. Hart movie is still HELL'S HINGES. I just adore him in Terminator mode. http://t.co/hM99NbUaSC"
"891","Terminator Genisys Movie - Official Trailer http://t.co/5zVHrReaR4"
"892","My favorite William S. Hart movie is still HELL'S HINGES. I just adore him in Terminator mode. http://t.co/hM99NbUaSC"
"893","Terminator Genisys Movie - Official Trailer http://t.co/clWkq1U5aO"
"894","That new terminator movie looks ridiculous"
"895","I told you I'd be back! http://t.co/Y8RUGmLDGj #terminator http://t.co/WXU3GVedYf"
"896","@crystalhefner You will like it. It's like the movie Her meets Terminator lol. Something different and refreshing in my opinion."
"897","So how are they explaining why a cyborg is aging in the new Terminator movie?"
"898","I liked a @YouTube video from @couch_reviews http://t.co/aDn14xVAAz 24 Reasons Terminator 2 &amp; Xmen DOFP Are the Same Movie"
"899","I'm on the @terminator 2 bluray trivia quiz during movie. 13/16 so far."
"900","i still can't believe the mother of dragons is coming out in that new terminator movie..."
"901","#Terminator 2: Judgment Day 1991 #ArnoldSchwarzenegger Vintage Movie #Poster http://t.co/XgAl6bPoRW #Governor #Actor"
"902","#sorrymom for making you come get me (10) at 3am from a sleepover and saying we watched A Disney movie when we really watched the terminator"
"903","""Line about Terminator being favorite romantic movie had me laughing out loud"" #bynr #asmsg http://t.co/Z4okFZBNKq http://t.co/OMVvZedByR"
"904","congrats TERMINATOR GENISYS, you managed to make one thing in your movie dumber than the name TERMINATOR GENISYS"
"905","@BricePuls I want to see the Terminator movie where he uses a balisong, a bow and arrow, throwing knives, and the sansetsukon."
"906","@HogansBeard @kingtentacle The concept of The Terminator almost touches on horror movie territory, but T2 was an action movie tour de force"
"907","RT @mikedelic: i got to see the whole movie. at the end mad max has sex with a terminator version of himself for like twenty minutes"
"908","Watching Terminator II. Really hope some contemporary movie critic described Robert Patrick's performance as mercurial."
"909","i got to see the whole movie. at the end mad max has sex with a terminator version of himself for like twenty minutes"
"910","@CVFarrow I debated it 1st because only watched it a month ago, but still... it's The Terminator! But basically any Arnie movie &amp; I'm happy!"
"911","@Logan__Holmes I would be there in spirit--and how about the new Terminator! This is finally a good movie year"
"912","@shwettynutz lmao it's a perfect moms day movie.  I mean she fights a terminator out of love of her son."
"913","Just saw Avengers, almost feel like Ultron belongs in a Terminator movie lol"
"914","I doubt even the writer of the new @Terminator movie has any idea what it's about. Too many time travel shenanigans to be coherent"
"915","One of our favorite movie mothers -- Sarah Connor -- in the concluding scene of The Terminator... http://t.co/Z7EA4x7noQ"
"916","@TitaniumHedgie ""well they had skin colored armor plating... Well, to make it easier you know the movie terminator?"""
"917","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/BRFenMGleA"
"918","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"919","RT @KevinDLindstrom: No surprise she is back in. Wambach should play The Terminator in the next movie."
"920","No surprise she is back in. Wambach should play The Terminator in the next movie."
"921","Kind of feeling the new Mad Max movie. The new Terminator....? Not so much."
"922","My fuckin' car looks like The Terminator at the end of the movie."
"923","T2 judgment day is the best Mother's Day movie. #HappyMothersDay #Terminator #TerminatorGenisys"
"924","""Had me laughing out loud. Line about Terminator as favorite romantic movie had me in tears""http://t.co/9GeKjY3pUb http://t.co/YjOZvI7FMl"
"925","IT GETS WORSE. AS I DON'T HAVE AN AGENT, I COULD NOT SEND MY MOVIE SCRIPT TERMINATOR VS CYBORG OVER TO JAMES CAMERON OR TO THE RELEVANT"
"926","@Terminator I wanna see that movie"
"927","Mother's Day movie line up . Babadook, aliens and terminator 2."
"928","Tonight on game of thrones Sarah Connor from the new terminator movie should fight Sarah Connor from the terminator show"
"929","I just noticed Emilia Clarke is playing Sara Connor in the next Terminator movie... Where tf my mind have been..?"
"930","remember when terminator 2 was a good movie"
"931","#Movie #DVD #Bluray #3: Terminator Salvation (Two-Disc Director's Cut) [Blu-ray] http://t.co/mjoCmZskTF #cheaptweet"
"932","She's the star of Game of Thrones and the new Terminator movie. Hello, Emilia Clarke! I'll be back.  http://t.co/NpUxqRuXMY"
"933","@PlayStationator Terminator 2 is my favorite movie of all time - OF ALL TIME ! Come with me if you want to live !"
"934","Never realized this is such a good #MothersDay movie, it shows John's love for his Mother. #NW Terminator 2 - http://t.co/mrYNZXJY7v"
"935","Celebrate today by watching the best Mother's Day movie ever made, Terminator 2."
"936","I liked a @YouTube video http://t.co/oHJkSri3Vb Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"937","A GOOD ACTION SCENE IS A GOOD ACTION SCENE NO MATTER THE FUCKEN MOVIE! 
TERMINATOR 2- SYFY!"
"938","RT @NAWTADIGM: The most Mother's Day movie of all time is probably Terminator"
"939","The best Mother's Day movie is Terminator."
"940","RT @NAWTADIGM: The most Mother's Day movie of all time is probably Terminator"
"941","The most Mother's Day movie of all time is probably Terminator"
"942","The perfect Mother's Day movie on SyFy just ended. Terminator 2. http://t.co/lF0J78Gpkd"
"943","The ending to Terminator 2 is one of the saddest movie endings http://t.co/tOs9GkgRhi"
"944","Terminator 2 is the best ACTION movie ever made."
"945","RT @whiskycomics: Looking for the perfect Mother's Day movie? Try Terminator 2! #happymothersday http://t.co/MredLXapS1"
"946","Looking for the perfect Mother's Day movie? Try Terminator 2! #happymothersday http://t.co/MredLXapS1"
"947","Watching the best Mothers Day movie, Terminator 2, happy mothers Day mom!"
"948","The only remotely close mom related movie on TV right now is Terminator 2."
"949","NSA Has an Actual Skynet Program http://t.co/iVjC1z2qUz Terminator movie in real life? #security"
"950","I hope the T-1000 in the new Terminator movie is made entirely out of pudding."
"951","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO ""Terminator Genisys"" http://t.co/fl3Br1uLVf"
"952","Found Terminator 2 on. Weirdly appropriate movie for today."
"953","Looking for a #movie to watch with #Mom on #MothersDay? Can recommend Freaky Friday, This is 40 and Terminator 2. What can you recommend?"
"954","Terminator 2: Judgement Day. I couldn't imagine a better movie for Mothers Day."
"955","Jason has worked out so well in MKX. Any plans on creating a horror/sci-fi movie fighting game now? Terminator, Freddy, Jason, Pred @noobde"
"956","terminator probably the best mother's day movie"
"957","The Terminator (1984) Full Movie
https://t.co/BxY3CXrx0X"
"958","Terminator 2 : Judgment Day (1991)  Full Movie
https://t.co/QwzYu96Fi1"
"959","Terminator 2 is the best action movie of all time."
"960","Terminator 2 would have been a much better movie if that little shitbag wasn't the  kid.. Terrible acting"
"961","T2 holds up so damn well. James Cameron should make a third Terminator movie!"
"962","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"963","Aw yes... perfect hangover movie. Terminator 2: Judgement Day. Hhah"
"964","My favorite Mothers Day movie is Terminator 2."
"965","Terminator 2 is the ultimate Mother's Day movie."
"966","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"967","Mom and I are watching the penultimate Mother's Day movie together today: Terminator 2."
"968","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"969","Terminator 2 is a great movie"
"970","If the first person Arnold had encountered had been a drag queen on a motor scooter, The Terminator would have been quite a different movie."
"971","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"972","Excited for Star Wars Game and Movie. The movies True Story, New Terminator, and Ted 2"
"973","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"974","If the first person Arnold had encountered had been a drag queen on a motor scooter, The Terminator would have been quite a different movie."
"975","If the first person Arnold had encountered had been a drag queen on a motor scooter, The Terminator would have been quite a different movie."
"976","Terminator 2: Judgment Day is on... which is a movie about a strong mom. Coincidence? #HappyMothersDay"
"977","SyFy is currently playing Terminator. It took me 2 commercial breaks to recognize the movie"
"978","Terminator 2 is a good Mother's Day movie, right?"
"979","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"980","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"981","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"982","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"983","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"984","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"985","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"986","RT @cameronhurley: Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"987","Syfy Channel's idea of a Mother's Day movie is Terminator 2: Judgement Day, and I couldn't agree more. #HappyMothersDay"
"988","Hey, Terminator 2 is on Syfy!. Perfect #HappyMothersDay Movie!"
"989","If the first person Arnold had encountered had been a drag queen on a motor scooter, The Terminator would have been quite a different movie."
"990","The #Terminator Original Movie #Poster 27X40 #ArnoldSchwarzenegger Linda Hamilton http://t.co/ihebUiGeAr #Governor #Actor"
"991","I liked a @YouTube video http://t.co/8Y596j2Qol Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"992","Terminator Genisys Official Trailer 2015 Arnold Schwarzenegger Movie HD http://t.co/SrgLLaPGXd"
"993","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/PHdRAsI00t"
"994","@jrsblogcom Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/dOknYfMEnG"
"995","Terminator Genisys 2015-Full Movie Streaming http://t.co/tsY1o4xByg #cnninternasional.co"
"996","Maggie (Arnold the Terminator) movie review. A realistic take on zombie infection tragedy, with ... http://t.co/ghcS6JqoQj"
"997","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/JaEIrC5T0Z"
"998","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/h8CmGWvj9u"
"999","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/WwNpzRNcB0"
"1000","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/M5htEIstyd"
"1001","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/HIR4CaXrSk"
"1002","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/6hJDjZerlp"
"1003","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/DchUEdtwgW"
"1004","I'm kinda glad Lotus isn't promoting the Terminator movie. #F1 #SpanishGP"
"1005","If the first person Arnold had encountered had been a drag queen on a motor scooter, The Terminator would have been quite a different movie."
"1006","I liked a @YouTube video http://t.co/5wt5ceOoGF Terminator Genisys Movie - Official Trailer 2"
"1007","McFarlane Toys T-800 Terminator 2 - Judgment Day Movie Maniacs Action Figure http://t.co/Z9lJdpY0Bl http://t.co/K3Ll7q0SJE"
"1008","I liked a @YouTube video http://t.co/ZSDLSGjl4Q Terminator Genisys Movie - Trailer 3"
"1009","I liked a @YouTube video http://t.co/D6oOFx71rr Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"1010","Maggie (Arnold the Terminator) movie review. A realistic take on zombie infection tragedy, with ... http://t.co/ghcS6JqoQj"
"1011","Terminator Genisys Movie - Official Trailer http://t.co/3Ptvuh0twj"
"1012","RT @UKfilmredcarpet: Check out the new #TerminatorGenisys movie posters! http://t.co/9uZ5SYlmzG http://t.co/EzmSucM0Tw"
"1013","2015: the year a Jurassic Park movie, a Terminator movie and a Star Wars movie are being released. http://t.co/e5Lst9UPZp"
"1014","#TERMINATORGENISYS 5 character poster http://t.co/rKTkCkeH4S via @Wide_Movie #ritorna #terminatorIT"
"1015","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/G7jbN1m3dw"
"1016","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/JXbrpdCkIX"
"1017","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/eNCxPNGPUL"
"1018","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/IvqehpwicL"
"1019","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/o8QDbyJJR0"
"1020","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/ruM8x7N9my"
"1021","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/gAfRmR0gdg"
"1022","@jrsblogcom Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/grz3KsX1iS"
"1023","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/gLJNAnOwga @Jrsblogcom"
"1024","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/av76NZcRoK @Jrsblogcom"
"1025","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/IQb3Xh7EDd @Jrsblogcom"
"1026","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/83Gsdj7Vpr @Jrsblogcom"
"1027","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/I4pLzova8E @Jrsblogcom"
"1028","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/remgxZWelG @Jrsblogcom"
"1029","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/XQyjVbK6WO @Jrsblogcom"
"1030","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/Ykd8j34GZk @Jrsblogcom"
"1031","Finally We Get A Look At Arnold Schwarzenegger In The New Terminator Movie! http://t.co/2w7bUygXnL @Jrsblogcom"
"1032","@Styla73 omg a terminator movie with Arnie! Now I care!"
"1033","RT @UKfilmredcarpet: Check out the new #TerminatorGenisys movie posters! http://t.co/9uZ5SYlmzG http://t.co/EzmSucM0Tw"
"1034","RT @UKfilmredcarpet: Check out the new #TerminatorGenisys movie posters! http://t.co/9uZ5SYlmzG http://t.co/EzmSucM0Tw"
"1035","Check out the new #TerminatorGenisys movie posters! http://t.co/9uZ5SYlmzG http://t.co/EzmSucM0Tw"
"1036","Just remembered about the new Terminator movie.

*excite*

Holy hell the trailer is AWESOME. https://t.co/hCOGYMeEfc"
"1037","Terminator Genisys Movie - Official Trailer 2.  #ResetTheFuture  http://t.co/WoTv0x6VK2"
"1038","Terminator Genisys: T-1000 Official Movie Poster http://t.co/2RIWnsB8lz"
"1039","Terminator Genisys Movie - Official Trailer https://t.co/0pYSjExE8q via @YouTube"
"1040","RT @nerdgoesboom: Ha ha , I think I might write about matt smith in the new terminator movie ;) . https://t.co/0KFtqdTmyL"
"1041","Ha ha , I think I might write about matt smith in the new terminator movie ;) . https://t.co/0KFtqdTmyL"
"1042","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"1043","Everything That's Wrong With Terminator 2: Nothing. Perfect movie. Shut up."
"1044","@RehamKhan1 Bhabi ur husband is Terminator 3 I think a movie on his struggle against corrupt practices in pak should be made 
Imran zindabad"
"1045","@ianwong96 And the upcoming San Andreas and Mad Max and Terminator and even Kingsman and also every other movie"
"1046","The Terminator (1984) Full Movie
https://t.co/iXzPk1EuIe"
"1047","The Terminator (1984) Full Movie
https://t.co/rB3ZBYz6ZE"
"1048","The Terminator (1984) Full Movie
https://t.co/TySzBFZh1m"
"1049","When I watch T2 I always watch the skynet edition. It makes any terminator movie after pointless."
"1050","ken 002 #Terminator Genisys - 2015 #ArnoldSchwarzenegger Movie 14""x21"" #Poster http://t.co/5EEbqxgHwl #Governor #Actor"
"1051","why is daenerys targarryen in a terminator movie"
"1052","The new avengers movie was kind of like terminator movie meets superhero movie.....all that was missing was Arnold saying ""I'll be back"""
"1053","wow im excited for the new terminator movie!!"
"1054","5 New Terminator Genisys Character Posters http://t.co/msXXj3LT23"
"1055","The NSA named one of its top-secret programs #Skynet just like in the movie #Terminator http://t.co/rjOSzrCVCy http://t.co/KHyMKHwi24"
"1056","// Aang Lee directing Terminator?!? You even see what he did to the 2003 Hulk movie? That was what shit spat up!"
"1057","Can't wait for the new Terminator film and the next James Bond movie. @Schwarzenegger and Daniel Craig, here I come!"
"1058","YUSSSSS!!! #Maggie is up on primewire. Sorry @Schwarzenegger I am broke and can't pay for your movie, promise to pay $ for terminator!"
